Brands,Buyer,Buyer PO,Color,Commercial Inv. No.,Customer Group,Customer Style,Delivery Date,Division,Gender,Invoice No,Item,Order Type,Plant,Season,Ship Date,Style,Currency,Rate,Exchange Rate,USD Rate,Quantity,Net Value,Ship Quantity,INR Value,USD Value,Delivery_Delay_Days,On_Time_Flag,In_Full_Flag,OTIF_Flag,Delayed,Days_Left,Order_Value,Order_Age,PR_Created_Date,PR_Delay_Days,PR_Approved_Date,Plant_Load_%,Not_Shipped_Flag
GIRLS,HANNA ANDERSON,34350,5TQ SIGNS OF SPRIN,4000021892,HANNA ANDERSSON,84289,26-12-2025,KNITS,GIRLS,RGUP25102387,TOP,BULK,NOIDA - D-53-54 (KNITS),SU26,26-12-2025,HA10100193,USD,5.37,89.54,89.55,1692,9086.04,1692,813564.02,9085.03,0,1,1,1,0,-56,9085.03,86,19-11-2025,9,28-11-2025,86.93069307,1
OLDER GIRLS T-74,MARKS AND SPENCER RELIANCE,MSI India (0340),BLACK,Not Generated,MARK & SPENCER,3396E,22-02-2026,WOVEN,KIDS,Not Generated,DRESS,BULK,MANESAR-7/4 (WOVEN),SU26,22-02-2026,MS11100678,INR,8,1,89.1,51,408,0,408,4.58,0,1,0,0,0,2,4.58,78,02-02-2026,9,11-02-2026,107.5247525,0
OLDER GIRLS T-74,MARKS AND SPENCER PLC,UK,PALE YELLOW,Not Generated,MARK & SPENCER,6833E SUM-2,22-02-2026,WOVEN,KIDS,Not Generated,TROUSER,BULK,MANESAR-7/4 (WOVEN),SU26,22-02-2026,MS11100673,USD,6,87.8,89.1,1000,6000,0,526800,5912.46,0,1,0,0,0,2,5912.46,88,23-01-2026,9,01-02-2026,107.5247525,0
SUPER DRY,BRAND COLLECTIVE PTY LTD.,570584,RED/NAVY STRIPE,Not Generated,SUPER DRY,M1110484A BUY 3,03-02-2026,KNITS,MEN,Not Generated,RUGBY,BULK,MANESAR-407 (KNITS),SS26,03-02-2026,SU10100264,GBP,9.5,115.25,89.1,7,66.5,0,7664.13,86.02,0,0,0,0,0,-17,86.02,23,23-12-2025,3,26-12-2025,73.26732673,0
BEACH WEAR,PREMIUM BRANDS OPCO LLC,5020891,BLACK 2222,Not Generated,PREMIUM BRANDS,774853P,30-01-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-232 (KNITS),SU26,30-01-2026,PB10100554,USD,14.9,87.8,89.1,1300,19370,0,1700686,19087.38,0,0,0,0,0,-21,19087.38,60,09-01-2026,4,13-01-2026,76.63366337,0
CALVIN KLEIN,PVH CORP.,4300169262,BRIGHT WHITE,Not Generated,PVH CORP,40AC805 SU26,16-03-2026,KNITS,MEN,Not Generated,POLO,BULK,NOIDA - D-49-50 (KNITS),SU26,16-03-2026,PC10100153,USD,5.55,89.55,89.1,4800,26640,0,2385612,26774.55,0,1,0,0,0,24,26774.55,7,01-02-2026,21,22-02-2026,71.48514851,0
ATS,PREMIUM BRANDS OPCO LLC,5010856,C1 COLD PLUNGE,4000018563,PREMIUM BRANDS,847080,07-11-2025,WOVEN,WOMEN,RGHR25105345,SKIRTS,BULK,MANESAR-427 (WOVEN),SP26,07-11-2025,PB11100536,USD,18.47,87,87.75,350,6464.5,365,562411.5,6409.25,0,0,1,0,0,-105,6409.25,80,17-10-2025,3,20-10-2025,106.9306931,1
CALVIN KLEIN,PVH ARVIND FASHION PRIVATE LIM,7100019700,EVENING BLUE,Not Generated,PVH CORP,4RF822G,11-12-2025,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - B-33-34 (KNITS),SP26,11-12-2025,PC10100112,INR,465.8,1,89.6,200,93160,0,93160,1039.73,0,0,0,0,0,-71,1039.73,57,05-11-2025,9,14-11-2025,91.08910891,0
CORE,TALBOTS IMPORT LLC.,6370156,BRIGHT PINK,4000020505,TALBOTS,261013171,05-12-2025,KNITS,WOMEN,RGHR25106434,TOP,BULK,GURUGRAM-232 (KNITS),SP26,05-12-2025,TA10100112,USD,4.75,87.79,89.6,1930,9167.5,1930,804814.83,8982.31,0,1,1,1,0,-77,8982.31,44,24-10-2025,9,02-11-2025,101.3861386,1
CALVIN KLEIN,PVH CORP.,4300134967,CHALK,4000017003,PVH CORP,4L0139G HO25,11-08-2025,KNITS,MEN,RGUP25101226,TEE,BULK,NOIDA - B-33-34 (KNITS),HO25,11-08-2025,PC10100083,USD,8.98,85.09,86.9,1644,14763.12,1644,1256193.88,14455.63,0,0,1,0,0,-193,14455.63,9,08-07-2025,3,11-07-2025,106.1386139,1
CALVIN KLEIN,PVH CORP.,4300146201,CRADLE PINK,4000020264,PVH CORP,47F144G,01-12-2025,WOVEN,WOMEN,RGHR25106204,SHIRT,BULK,MANESAR-166 (WOVEN),SP26,01-12-2025,PC11100036,USD,7.5,87.79,87.8,448,3360,456,294974.4,3359.62,0,0,1,0,0,-81,3359.62,15,20-10-2025,5,25-10-2025,82.57425743,1
LOFT,PREMIUM BRANDS OPCO LLC,5011880,WHISPER WHITE 4899,4000019031,PREMIUM BRANDS,775472,07-11-2025,KNITS,WOMEN,RGHR25105329,TEE,BULK,GURUGRAM-418 (KNITS),SP26,07-11-2025,PB10100328,USD,4.8,87,87.75,3115,14952,3115,1300824,14824.21,0,0,1,0,0,-105,14824.21,88,29-09-2025,17,16-10-2025,106.9306931,1
CALVIN KLEIN,PVH CORP.,4300167644,BRILLIANT WHITE,Not Generated,PVH CORP,47G623G,16-02-2026,WOVEN,WOMEN,Not Generated,SKIRTS,BULK,MANESAR-407 (WOVEN),SU26,16-02-2026,PC11100099,USD,13,87.8,89.1,72,936,0,82180.8,922.34,0,0,0,0,0,-4,922.34,69,07-01-2026,7,14-01-2026,101.980198,0
LOU & GREY,PREMIUM BRANDS OPCO LLC,5005082,BIRCH-007803,4000018029,PREMIUM BRANDS,772123,05-09-2025,KNITS,WOMEN,RGHR25104571,TUNIC,BULK,GURUGRAM-232 (KNITS),WI25,05-09-2025,PB10100241,USD,16.13,87.29,87.3,1200,19356,1200,1689585.24,19353.78,0,1,1,1,0,-168,19353.78,73,10-08-2025,5,15-08-2025,78.61386139,1
TCP,THE CHILDREN'S PLACE,827118,ROSE MIST,4000018899,CHILDRENS PLACE,S062365,26-10-2025,KNITS,GIRLS,RGHR25105221,DRESS,BULK,MANESAR-407 (KNITS),SP26,26-10-2025,TC10100005,USD,5.3,87,87,1476,7822.8,1476,680583.6,7822.8,0,0,1,0,0,-117,7822.8,46,02-10-2025,6,08-10-2025,82.37623762,1
OLDER GIRLS T-74,MARKS AND SPENCER PLC,2012824051,BRONZE,4000017012,MARK & SPENCER,3312M,04-08-2025,WOVEN,GIRLS,RGHR25103713,SKIRTS,BULK,MANESAR-181 (WOVEN),WI25,04-08-2025,MS11100189,USD,11.1,85.09,85.1,4400,48840,4482,4155795.6,48834.26,0,0,1,0,0,-200,48834.26,88,13-07-2025,22,04-08-2025,91.08910891,1
SLEEPWEAR,HANNA ANDERSON,32739,HPR-31463 COCOA,4000016759,HANNA ANDERSSON,82206,18-08-2025,WOVEN,PETS,RGHR25103526,PET JOHN,BULK,MANESAR-11 (WOVEN),HO25,18-08-2025,HA11100114,USD,2.1,85.09,86.9,1548,3250.8,1625,276610.57,3183.09,0,1,1,1,0,-186,3183.09,84,22-07-2025,8,30-07-2025,88.71287129,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500638803,CAPERS,4000021155,PVH CORP,4LF811G,17-12-2025,KNITS,MEN,RGUP25102226,TEE,BULK,NOIDA - B-33-34 (KNITS),SP26,17-12-2025,PC10100106,USD,5.7,89.59,89.6,750,4275,750,382997.25,4274.52,0,0,1,0,0,-65,4274.52,6,20-11-2025,3,23-11-2025,65.74257426,1
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,684273 B,WHITE,Not Generated,TOMMY BAHAMA,261-SW622691,18-02-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-232 (KNITS),SP26,18-02-2026,TB10100036,USD,14.99,87.15,89.1,1289,19322.11,0,1683921.89,18899.24,0,1,0,0,0,-2,18899.24,55,08-01-2026,9,17-01-2026,94.05940594,0
CROWN & IVY,BELK,2688121,RED PLAID,4000016017,BELK INTL.,47326FAW000009,08-07-2025,WOVEN,KIDS,RGHR25103085,TOP,BULK,MANESAR-427 (WOVEN),HO25,08-07-2025,BI11100196,USD,5.65,84.5,84.5,5,28.25,6,2387.13,28.25,0,0,1,0,0,-227,28.25,58,26-05-2025,4,30-05-2025,82.97029703,1
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,682257AUS,PEACH GELATO,4000021952,TOMMY BAHAMA,261-SW622703,24-12-2025,KNITS,WOMEN,RGHR25107466,DRESS,BULK,GURUGRAM-232 (KNITS),SP26,24-12-2025,TB10100025,USD,17.75,89.54,89.55,223,3958.25,223,354421.71,3957.81,0,1,1,1,0,-58,3957.81,57,25-11-2025,5,30-11-2025,65.34653465,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500626623,ADRENALINE RUSH,4000017413,PVH CORP,4RE802G,13-08-2025,KNITS,MEN,RGUP25101391,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,13-08-2025,PC10100091,USD,4.95,86.9,86.9,2,9.9,2,860.31,9.9,0,1,1,1,0,-191,9.9,72,01-07-2025,6,07-07-2025,85.34653465,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500638861,DARK SAPPHIRE,4000020054,PVH CORP,4RF814G,26-11-2025,KNITS,MEN,RGUP25102063,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,26-11-2025,PC10100130,USD,5.35,87.75,87.8,1000,5350,1000,469462.5,5346.95,0,0,1,0,0,-86,5346.95,58,28-10-2025,9,06-11-2025,67.32673267,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502228828,VERDE FRESCO,4000020983,CHICO'S,202-26C133726,16-12-2025,KNITS,WOMEN,RGUP25102191,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,16-12-2025,CH10100059,USD,3.42,89.59,89.6,1400,4788,1416,428956.92,4787.47,0,0,1,0,0,-66,4787.47,8,16-11-2025,3,19-11-2025,88.91089109,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1114091,OFF WHITE,4000019875,SUPER DRY,W6012212A BUY2,19-11-2025,KNITS,WOMEN,RGHR25106090,TOP,BULK,MANESAR-407 (KNITS),SS26,19-11-2025,SU10100206,GBP,10.25,114.54,87.75,200,2050,200,234807,2675.86,0,0,1,0,0,-93,2675.86,43,17-10-2025,8,25-10-2025,71.48514851,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500626980,PIRATE BLACK,4000017412,PVH CORP,4RE807G,27-08-2025,KNITS,MEN,RGUP25101390,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,27-08-2025,PC10100088,USD,4.9,86.9,86.2,3,14.7,3,1277.43,14.82,0,0,1,0,0,-177,14.82,35,15-07-2025,6,21-07-2025,61.18811881,1
CALVIN KLEIN,PVH CORP.,7100021186,BRIGHT WHITE,4000021387,PVH CORP,4RF820G,22-12-2025,KNITS,MEN,RGHR25107094,TEE,BULK,MANESAR-407 (KNITS),SP26,22-12-2025,PC10100124,USD,7.63,89.59,89.55,400,3052,400,273428.68,3053.36,0,0,1,0,0,-60,3053.36,70,11-11-2025,6,17-11-2025,80.99009901,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502229497,ALABASTER,Not Generated,CHICO'S,202-26C133724,20-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,20-01-2026,CH10100053,USD,3.26,87.8,89.1,1000,3260,0,286228,3212.44,0,1,0,0,0,-31,3212.44,62,16-12-2025,4,20-12-2025,81.58415842,0
QUINCE,LAST BRAND INC. (QUINCE),22530,PLANETS,4000016507,LAST BRAND INC.,BUK40014TF CHASE HO25,21-07-2025,KNITS,KIDS,RGUP25101114,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),HO25,21-07-2025,LI10100016,USD,7.52,85.09,85.1,50,376,50,31993.84,375.96,0,1,1,1,0,-214,375.96,44,18-06-2025,8,26-06-2025,77.42574257,1
TODDLER GIRLS T-77,MARKS AND SPENCER PLC,2012898339,IVORY,4000020234,MARK & SPENCER,3920E,24-01-2026,KNITS,GIRLS,RGUP25102088,DRESS,BULK,NOIDA - D-53-54 (KNITS),AW25,24-01-2026,MS10100048,USD,10.4,87.79,89.1,100,1040,100,91301.6,1024.71,0,1,1,1,0,-27,1024.71,50,15-12-2025,9,24-12-2025,70.0990099,1
BABY TODDLER,HANNA ANDERSON,34205,3KL PINK CREAM,4000020415,HANNA ANDERSSON,84370,13-11-2025,WOVEN,TODDLER,RGHR25106300,DRESS,BULK,MANESAR-11 (WOVEN),SS26,13-11-2025,HA11100174,USD,18,87.79,87.75,462,8316,482,730061.64,8319.79,0,0,1,0,0,-99,8319.79,24,01-10-2025,8,09-10-2025,75.24752475,1
CROWN & IVY,BELK,2690560,TAN BLOOMS,4000019967,BELK INTL.,72627SPD000057,23-11-2025,WOVEN,WOMEN,RGUP25102030,DRESS,BULK,NOIDA - B-14 (WOVEN),SP26,23-11-2025,BI11100261,USD,13.77,87.75,87.8,1482,20407.14,1482,1790726.54,20395.52,0,1,1,1,0,-89,20395.52,59,23-10-2025,4,27-10-2025,103.1683168,1
WOMENS RETAIL,J.CREW OPERATING CORP,2771193-PPK,WT0002 WHITE,Not Generated,J.CREW,CT056/263864-SU26,26-02-2026,WOVEN,WOMEN,Not Generated,SHORTS,BULK,GURUGRAM-215 (WOVEN),SU26,26-02-2026,JC11100585,USD,10,89.1,89.1,1230,12300,0,1095930,12300,0,1,0,0,0,6,12300,38,30-01-2026,8,07-02-2026,81.58415842,0
ATS,PREMIUM BRANDS OPCO LLC,5013317,WINTER WHITE,4000020918,PREMIUM BRANDS,848032P,05-12-2025,KNITS,WOMEN,RGHR25106794,TOP,BULK,GURUGRAM-294 (KNITS),SP26,05-12-2025,PB10100415,USD,10.97,89.59,89.6,342,3751.74,351,336118.39,3751.32,0,0,1,0,0,-77,3751.32,69,10-11-2025,5,15-11-2025,101.3861386,1
ATS,PREMIUM BRANDS OPCO LLC,5004829,BLACK,4000017477,PREMIUM BRANDS,846608,22-08-2025,WOVEN,WOMEN,RGHR25104042,SKIRTS,BULK,GURUGRAM-294 (WOVEN),WI25,22-08-2025,PB11100457,USD,13.27,86.9,86.2,1236,16401.72,1247,1425309.47,16534.91,0,0,1,0,0,-182,16534.91,52,27-07-2025,4,31-07-2025,68.51485149,1
SUPERDRY KIDS,NEXT P.L.C.,CI8434694,WASHED DENIM,4000017942,NEXT PLC,SDOBAW25092 H73053,01-09-2025,KNITS,KIDS,RGUP25101495,HODDIE,BULK,NOIDA - D-53-54 (KNITS),AW25,01-09-2025,NE10100153,USD,9.95,86.2,86.2,499,4965.05,499,427987.31,4965.05,0,0,1,0,0,-172,4965.05,18,04-08-2025,6,10-08-2025,94.45544554,1
TCP,THE CHILDREN'S PLACE,817120,LIGHT PLUM,4000016641,CHILDRENS PLACE,S061258,25-07-2025,WOVEN,GIRLS,RGHR25103633,DRESS,BULK,MANESAR-7/4 (WOVEN),HO25,25-07-2025,TC11100012,USD,6.65,85.09,85.1,4120,27398,4320,2331295.82,27394.78,0,0,1,0,0,-210,27394.78,47,22-06-2025,23,15-07-2025,76.23762376,1
PERUNA T-53,MARKS AND SPENCER PLC,2012909479,SANDSTONE,Not Generated,MARK & SPENCER,7077U-REG,08-03-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,NOIDA - B-14 (WOVEN),SP26,08-03-2026,MS11100414,USD,15.6,87,89.1,500,7800,0,678600,7616.16,0,1,0,0,0,16,7616.16,16,03-02-2026,7,10-02-2026,72.87128713,0
QUINCE,LAST BRAND INC. (QUINCE),34023,CATS,4000021222,LAST BRAND INC.,KUK40006TF-6...,15-12-2025,KNITS,KIDS,RGUP25102255,TOP,BULK,NOIDA - D-53-54 (KNITS),SP26,15-12-2025,LI10100053,USD,3.26,89.59,89.6,122,397.72,122,35631.73,397.68,0,0,1,0,0,-67,397.68,42,13-11-2025,9,22-11-2025,116.8316832,1
J.JILL,NEWTIMES MACAO COMMERCIAL OFFS,3047389,BLACK/WHITE STRIPE,4000018561,J.JILL,WTP350681,20-10-2025,WOVEN,WOMEN,RGHR25104998,TOP,BULK,GURUGRAM-215 (WOVEN),SP26,20-10-2025,JJ11100081,USD,8.4,88,87,2743,23041.2,2795,2027625.6,23306.04,0,1,1,1,0,-123,23306.04,44,15-09-2025,18,03-10-2025,89.30693069,1
CORE,TALBOTS IMPORT LLC.,6369904,WHITE + VISTA BLUE,4000020641,TALBOTS,261013060,28-11-2025,KNITS,WOMEN,RGHR25106539,TOP,BULK,GURUGRAM-418 (KNITS),SP26,28-11-2025,TA10100121,USD,8.8,87.79,87.8,1192,10489.6,1192,920881.98,10488.41,0,0,1,0,0,-84,10488.41,31,03-11-2025,8,11-11-2025,63.76237624,1
TODDLER GIRLS T-77,MARKS AND SPENCER PLC,2012922648,WHITE,4000022197,MARK & SPENCER,2079E,18-01-2026,WOVEN,KIDS,RGUP25102445,TOP,BULK,NOIDA - D-53-54 (WOVEN),SU26,18-01-2026,MS11100543,USD,8.35,89.09,89.1,154,1285.9,154,114560.83,1285.76,0,1,1,1,0,-33,1285.76,53,22-12-2025,3,25-12-2025,83.56435644,1
J.JILL,JILL ACQUISITION LLC,3047837,WHITE,4000022438,J.JILL,KTP341482,09-01-2026,KNITS,WOMEN,RGHR25107866,TEE,BULK,GURUGRAM-232 (KNITS),SP26,09-01-2026,JJ10100277,USD,6.64,89.09,89.1,363,2410.32,357,214735.41,2410.05,0,0,0,0,0,-42,2410.05,30,12-12-2025,6,18-12-2025,92.07920792,1
WOMENS RETAIL,J.CREW OPERATING CORP,1803405,NA6436 FLAX,Not Generated,J.CREW,CA384/211970-SU26,05-02-2026,WOVEN,WOMEN,Not Generated,SHORTS,BULK,GURUGRAM-215 (WOVEN),SU26,05-02-2026,JC11100586,USD,11.3,87.75,89.1,2074,23436.2,0,2056526.55,23081.11,0,0,0,0,0,-15,23081.11,11,14-01-2026,17,31-01-2026,119.009901,0
WOMENS RETAIL,J.CREW OPERATING CORP,1802105,WT0002 WHITE,4000020346,J.CREW,CA384/211970-SP26,04-12-2025,WOVEN,WOMEN,RGHR25106342,SHORTS,BULK,GURUGRAM-215 (WOVEN),SP26,04-12-2025,JC11100331,USD,14.1,87.79,87.8,1399,19725.9,1440,1731736.76,19723.65,0,0,1,0,0,-78,19723.65,70,04-11-2025,4,08-11-2025,72.67326733,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502236243PPK,AQUA PEARL,Not Generated,CHICO'S,202-26C133726-SUM26,10-03-2026,KNITS,WOMEN,Not Generated,TOP,BULK,NOIDA - B-33-34 (KNITS),SU26,10-03-2026,CH10100089,USD,3.26,87.8,89.1,400,1304,0,114491.2,1284.97,0,0,0,0,0,18,1284.97,88,05-02-2026,4,09-02-2026,67.52475248,0
CROWN & IVY,BELK,2691125,NAVY FLORAL,Not Generated,BELK INTL.,72627SPW000086,15-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-11 (WOVEN),SU26,15-02-2026,BI11100404,USD,10.35,88,89.1,2778,28752.3,0,2530202.4,28397.33,0,0,0,0,0,-5,28397.33,87,22-01-2026,23,14-02-2026,103.5643564,0
SWIM,TALBOTS IMPORT LLC.,6375403,TA WHITE,Not Generated,TALBOTS,251014600W SU-26,06-02-2026,WOVEN,WOMEN,Not Generated,SHIRT,BULK,MANESAR-427 (WOVEN),SU26,06-02-2026,TA11100167,USD,15.75,89.6,89.1,140,2205,0,197568,2217.37,0,0,0,0,0,-14,2217.37,74,26-12-2025,8,03-01-2026,134.6534653,0
QUINCE,LAST BRAND INC. (QUINCE),29214,POP FLORAL,4000018443,LAST BRAND INC.,BUK40014TF_HO25,27-09-2025,KNITS,KIDS,RGUP25101680,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),HO25,27-09-2025,LI10100039,USD,6.17,87.15,87.15,92,567.64,92,49469.83,567.64,0,0,1,0,0,-146,567.64,25,24-08-2025,9,02-09-2025,69.10891089,1
WOMENS RETAIL,J.CREW OPERATING CORP,1804503,YA1741 INTENSE,Not Generated,J.CREW,CU749/258797-SU26,05-03-2026,WOVEN,WOMEN,Not Generated,SKIRTS,BULK,GURUGRAM-227 (WOVEN),SU26,05-03-2026,JC11100719,USD,24.17,89.6,89.1,598,14453.66,0,1295047.94,14534.77,0,0,0,0,0,13,14534.77,24,10-02-2026,8,18-02-2026,74.05940594,0
SLEEPWEAR,HANNA ANDERSON,33473,HPR-31472,4000016746,HANNA ANDERSSON,83640,25-07-2025,WOVEN,GIRLS,RGHR25103521,SLEEPWEAR,BULK,MANESAR-11 (WOVEN),HO25,25-07-2025,HA11100102,USD,9.75,85.09,85.1,1217,11865.75,1237,1009656.67,11864.36,0,0,1,0,0,-210,11864.36,37,18-06-2025,6,24-06-2025,76.23762376,1
Unknown,HANNA ANDERSON,32907,HPR-31463 ALMOND,4000017503,HANNA ANDERSSON,84296,18-08-2025,KNITS,KIDS,RGUP25101414,TOP,BULK,NOIDA - D-53-54 (KNITS),HO25,18-08-2025,HA10100135,USD,6,86.9,86.9,4316,25896,4522,2250362.4,25896,0,1,1,1,0,-186,25896,48,25-07-2025,22,16-08-2025,88.71287129,1
WOMENS RETAIL,J.CREW OPERATING CORP,1803266,YD9657 LT BLUE,Not Generated,J.CREW,CS920/232499-SU26,05-02-2026,WOVEN,WOMEN,Not Generated,PANTS,BULK,GURUGRAM-227 (WOVEN),SU26,05-02-2026,JC11100680,USD,7.25,87.75,89.1,163,1181.75,0,103698.56,1163.84,0,0,0,0,0,-15,1163.84,35,25-12-2025,5,30-12-2025,119.009901,0
PERUNA T-53,MARKS AND SPENCER PLC,2031129272,BLACK,4000021167,MARK & SPENCER,3606U,28-12-2025,WOVEN,WOMEN,RGHR25106930,DRESS,BULK,MANESAR-166 (WOVEN),SP26,28-12-2025,MS11100367,USD,16.35,89.59,89.55,473,7733.55,473,692848.74,7737,0,0,1,0,0,-54,7737,73,04-12-2025,6,10-12-2025,79.40594059,1
CROWN & IVY,BELK,2690297,PEBBLE GRAY,4000019912,BELK INTL.,72627SPP000005,23-11-2025,WOVEN,WOMEN,RGHR25105912,PANTS,BULK,MANESAR-166 (WOVEN),SP26,23-11-2025,BI11100271,USD,8.18,87.75,87.8,2820,23067.6,2820,2024181.9,23054.46,0,0,1,0,0,-89,23054.46,57,20-10-2025,21,10-11-2025,103.1683168,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1116182,ECLIPSE NAVY,4000021342,SUPER DRY,W6012276A BUY-4,15-12-2025,KNITS,WOMEN,RGHR25107237,TOP,BULK,MANESAR-407 (KNITS),SS26,15-12-2025,SU10100302,GBP,4.9,118.84,89.6,680,3332,680,395974.88,4419.36,0,0,1,0,0,-67,4419.36,84,08-11-2025,5,13-11-2025,116.8316832,1
